type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,370000.0,998.0,58.16,3.0,5.0,wagon r,maruti,69162,lucknow,fwd,10
hatchback,manual,cng,365000.0,998.0,58.2,3.0,5.0,celerio,maruti,45864,mumbai,fwd,11
sedan,manual,cng,421000.0,1198.0,86.7,4.0,5.0,amaze,honda,81506,new delhi,fwd,11
hatchback,manual,cng,240000.0,998.0,58.2,3.0,5.0,wagon r,maruti,115893,new delhi,fwd,13
muv,manual,cng,1175000.0,1462.0,86.63,4.0,7.0,ertiga,maruti,18900,mumbai,2wd,4
hatchback,manual,cng,250000.0,998.0,58.16,3.0,5.0,wagon r,maruti,60000,new delhi,fwd,14
hatchback,manual,cng,145000.0,796.0,38.4,3.0,5.0,alto,maruti,67000,new delhi,two wheel drive,16
hatchback,manual,cng,465000.00000000006,1197.0,65.39,4.0,5.0,grand i10,hyundai,58000,new delhi,fwd,9
hatchback,manual,cng,560000.0,998.0,58.33,3.0,5.0,wagon r,maruti,54097,gurgaon,fwd,5
hatchback,manual,cng,215000.0,998.0,58.16,3.0,5.0,wagon r,maruti,67000,new delhi,fwd,15
hatchback,manual,cng,425000.0,998.0,58.33,3.0,5.0,celerio,maruti,98083,pune,fwd,8
hatchback,manual,cng,380000.0,998.0,58.33,3.0,5.0,celerio,maruti,80000,agra,fwd,7
muv,manual,cng,795000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,39000,mumbai,fwd,9
hatchback,manual,cng,350000.0,998.0,58.16,3.0,5.0,wagon r,maruti,34889,pune,fwd,12
hatchback,manual,cng,650000.0,998.0,58.33,3.0,5.0,wagon r,maruti,31758,new delhi,fwd,4
hatchback,manual,cng,599000.0,998.0,58.16,3.0,5.0,wagon r,maruti,23000,ghaziabad,fwd,5
hatchback,manual,cng,425000.0,1197.0,82.0,4.0,5.0,grand i10,hyundai,60000,new delhi,fwd,12
hatchback,manual,cng,318000.0,998.0,58.16,3.0,5.0,wagon r,maruti,43413,new delhi,fwd,10
muv,manual,cng,1000000.0,1462.0,91.18,4.0,7.0,ertiga tour,maruti,60000,bangalore,fwd,6
hatchback,manual,cng,317000.0,998.0,58.2,3.0,5.0,celerio,maruti,67720,pune,fwd,12
hatchback,manual,cng,250000.0,998.0,58.16,3.0,5.0,wagon r,maruti,99821,pune,fwd,13
hatchback,manual,cng,380000.0,998.0,58.16,3.0,5.0,wagon r,maruti,67477,pune,fwd,12
hatchback,manual,cng,600000.0,998.0,58.33,3.0,5.0,wagon r,maruti,24158,lucknow,fwd,5
hatchback,manual,cng,325000.0,998.0,67.04,3.0,5.0,wagon r,maruti,35000,new delhi,fwd,12
sedan,manual,cng,600000.0,1197.0,70.4,4.0,5.0,swift dzire tour,maruti,37000,ludhiana,,5
hatchback,manual,cng,613000.0,998.0,58.33,3.0,5.0,wagon r,maruti,32530,mumbai,fwd,5
hatchback,manual,cng,285000.0,998.0,58.33,3.0,5.0,wagon r,maruti,90300,mumbai,fwd,10
hatchback,manual,cng,425000.0,998.0,67.04,3.0,5.0,wagon r,maruti,43000,new delhi,fwd,7
hatchback,manual,cng,613000.0,998.0,58.33,3.0,5.0,wagon r,maruti,28061,bangalore,fwd,5
hatchback,manual,cng,250000.0,998.0,58.2,3.0,5.0,wagon r,maruti,60000,guwahati,fwd,14
hatchback,manual,cng,600000.0,998.0,58.33,3.0,5.0,wagon r,maruti,40000,kanpur,fwd,6
minivans,manual,cng,341000.0,1196.0,63.0,4.0,5.0,eeco,maruti,95000,mumbai,rwd,9
