manufacturer,model,age,odometer,fuel,transmission,engine_cc,max_power,seats,price,region,type,cylinders,drive
maruti,alto,9,120000,petrol,manual,796,46.3,5,120000,,,,
hyundai,grand,5,20000,petrol,manual,1197,82.0,5,550000,,,,
hyundai,i20,11,60000,petrol,manual,1197,80.0,5,215000,,,,
maruti,alto,9,37000,petrol,manual,998,67.1,5,226000,,,,
ford,ecosport,6,30000,diesel,manual,1498,98.59,5,570000,,,,
maruti,wagon r,8,35000,petrol,manual,998,67.1,5,350000,,,,
hyundai,i10,8,40000,petrol,manual,1197,78.9,5,315000,,,,
maruti,wagon r,3,17512,petrol,manual,998,67.04,5,410000,,,,
hyundai,venue,2,20000,petrol,automatic,998,118.35,5,1050000,,,,
maruti,swift,4,28321,petrol,manual,1197,85.0,5,511000,,,,
hyundai,verna,8,65278,diesel,manual,1582,126.32,5,425000,,,,
renault,duster,5,50000,diesel,manual,1461,108.45,5,750000,,,,
mini,cooper,4,6000,petrol,automatic,1998,189.08,5,3250000,,,,
maruti,ciaz,5,76000,diesel,manual,1248,88.5,5,650000,,,,
maruti,swift,5,20000,diesel,manual,1248,74.0,5,627000,,,,
mercedes-benz,c-class,7,65000,diesel,automatic,2143,170.0,5,1425000,,,,
maruti,swift,7,62200,diesel,manual,1248,74.0,5,425000,,,,
toyota,innova,8,110000,diesel,manual,2494,100.6,8,605000,,,,
maruti,baleno,6,20000,petrol,manual,1197,83.1,5,600000,,,,
maruti,swift dzire,5,40000,petrol,manual,1197,83.14,5,575000,,,,
volkswagen,vento,8,47000,petrol,manual,1598,103.2,5,425000,,,,
maruti,alto,8,25000,petrol,manual,998,67.1,5,230000,,,,
hyundai,creta,2,15000,diesel,manual,1582,126.2,5,1225000,,,,
honda,city,6,50000,petrol,manual,1497,117.3,5,750000,,,,
mahindra,bolero,10,25000,diesel,manual,2523,63.0,7,350000,,,,
maruti,swift dzire,6,90000,diesel,manual,1248,74.0,5,600000,,,,
maruti,swift dzire,8,45000,diesel,manual,1248,74.0,5,390000,,,,
honda,city,14,77253,petrol,manual,1497,78.0,5,145000,,,,
hyundai,i20,3,25000,petrol,manual,1197,81.86,5,700000,,,,
toyota,fortuner,8,110000,diesel,manual,2982,168.5,7,1150000,,,,
