region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
agra,512000,tata,tiago,3.0,petrol,20979,manual,fwd,hatchback,,,,5
agra,745000,maruti suzuki,baleno,4.0,petrol,20176,manual,fwd,hatchback,,,,3
agra,465000,hyundai,grand i10,3.0,cng,41448,manual,fwd,hatchback,,,,7
agra,546000,maruti suzuki,celerio,3.0,petrol,8527,manual,fwd,hatchback,,,,3
agra,428000,hyundai,santro,4.0,cng,102049,manual,fwd,hatchback,,,,5
agra,762000,hyundai,venue,3.0,petrol,41980,manual,fwd,suv,,,,4
agra,562000,hyundai,grand i10 nios,4.0,petrol,54966,automatic,fwd,hatchback,,,,6
agra,398000,hyundai,elite i20,4.0,petrol,43443,manual,fwd,hatchback,,,,11
agra,555000,toyota,etios liva,4.0,diesel,95153,manual,fwd,hatchback,,,,7
agra,387000,hyundai,elite i20,4.0,petrol,62341,manual,fwd,hatchback,,,,10
agra,253000,hyundai,grand i10,4.0,petrol,74307,manual,fwd,hatchback,,,,13
agra,386000,honda,city,4.0,petrol,57781,manual,fwd,sedan,,,,12
agra,626000,maruti suzuki,baleno,4.0,petrol,92240,automatic,fwd,hatchback,,,,4
agra,299000,maruti suzuki,alto k10,3.0,petrol,15391,manual,fwd,hatchback,,,,8
agra,946000,hyundai,new i20,4.0,petrol,7352,automatic,fwd,hatchback,,,,2
agra,582000,maruti suzuki,vitara brezza,4.0,diesel,77352,manual,fwd,suv,,,,10
agra,265000,hyundai,i20,4.0,petrol,69393,manual,fwd,hatchback,,,,13
agra,316000,maruti suzuki,celerio,3.0,cng,97881,manual,fwd,hatchback,,,,10
agra,340000,hyundai,xcent,4.0,petrol,67923,manual,fwd,sedan,,,,11
agra,483000,maruti suzuki,baleno,4.0,petrol,38100,manual,fwd,hatchback,,,,10
agra,884000,hyundai,new i20,4.0,petrol,21606,automatic,fwd,hatchback,,,,3
agra,598000,tata,punch,3.0,cng,24072,manual,fwd,suv,,,,3
